"nombre";"latitud1";"longitud1";"departamento";"ciudad"
"CENTRO EDUCATIVO INFANTIL N° 8022 CENTRO DE BIENESTAR INFANTIL DEL CONGRESO NACIONAL";"25.300653";"57.587563";"Capital";"Asunción"
"ESCUELA BÁSICA N° 8045 FAITH CHRISTIAN SCHOOL";"25.287083";"57.59975";"Capital";"Asunción"
"CENTRO EDUCATIVO INTEGRAL HELEN KELLER PARA LA ATENCIÓN A NIÑOS Y JÓVENES CON DISCAPACIDAD VISUAL Y MÚLTIPLE";"25.314812";"57.60543";"Capital";"Asunción"
"COLEGIO TÉCNICO SAN FRANCISCO,ESCUELA BÁSICA N° 8175 SAN FRANCISCO";"25.23803";"57.56622";"Capital";"Asunción"
"CENTRO DE EDUCACIÓN MEDIA PARA PERSONAS JÓVENES Y ADULTAS N° 224 SAN FRANCISCO";"25.23803";"57.56622";"Capital";"Asunción"
" CENTRO DE EDUCACIÓN MEDIA PARA PERSONAS JÓVENES Y ADULTAS N° 198";"25.343231";"57.622475";"Capital";"Asunción"
"ESCUELA BÁSICA N° 17 REPÚBLICA DEL PERÚ";"25.292473";"57.66198";"Capital";"Asunción"
"ESCUELA NACIONAL DE COMERCIO N° 3 REPÚBLICA DEL PERÚ";"25.292473";"57.66198";"Capital";"Asunción"
"ESCUELA BÁSICA N° 225 DOCTOR  JUAN LEÓN MALLORQUÍN";"25.296688";"57.662342";"Capital";"Asunción"
"ESCUELA BÁSICA N° 7 SOTERO COLMÁN";"25.30158";"57.66473";"Capital";"Asunción"
" CENTRO DE EDUCACIÓN BÁSICA PARA PERSONAS JÓVENES Y ADULTAS N° 146  SAN JERÓNIMO ";"25.30158";"57.66473";"Capital";"Asunción"
"ESCUELA BÁSICA N° 8 DOCTOR  JOSÉ DE ANTEQUERA Y CASTRO";"25.28874";"57.6486";"Capital";"Asunción"
"COLEGIO NACIONAL DR. JOSÉ ANTEQUERA Y CASTRO";"25.28874";"57.6486";"Capital";"Asunción"
"CENTRO DE EDUCACIÓN BÁSICA PARA PERSONAS JÓVENES Y ADULTAS N° 41  DR. JOSÉ DE ANTEQUERA Y CASTRO ";"25.28874";"57.6486";"Capital";"Asunción"
"COLEGIO PARROQUIAL SUVENCIONADO SAN ANTONIO DE PADUA,ESCUELA BÁSICA N° 1033 PARROQUIAL SAN ANTONIO DE PADUA";"25.284616";"57.65573";"Capital";"Asunción"
"ESCUELA BÁSICA N° 1276 FUNDACIÓN MOLINOS HARINEROS DEL PARAGUAY";"25.284239";"57.663734";"Capital";"Asunción"
"COLEGIO NACIONAL NANAWA";"25.284239";"57.663734";"Capital";"Asunción"
"COLEGIO SAGRADO CORAZÓN DE JESÚS,ESCUELA BÁSICA N° 1036 SAGRADO CORAZÓN DE JESÚS";"25.286455";"57.660755";"Capital";"Asunción"
"COLEGIO ALBERTO SCHWEITZER,ESCUELA BÁSICA N° 1183 ALBERTO SCHWEITZER";"25.282927";"57.658222";"Capital";"Asunción"
"COLEGIO EXPERIMENTAL PARAGUAY - BRASIL,ESCUELA BÁSICA EXPERIMENTAL PARAGUAY - BRASIL";"25.283766";"57.662132";"Capital";"Asunción"
"ESCUELA BÁSICA N° 314 CRECER JUGANDO";"25.288744";"57.661613";"Capital";"Asunción"
"COLEGIO DE FORM DE SUB OFICIAL TTE.  JOSÉ FARIÑA";"25.289715";"57.66879";"Capital";"Asunción"
" CENTRO DE EDUCACIÓN BÁSICA PARA PERSONAS JÓVENES Y ADULTAS N° 60  CIRILO DUARTE ";"25.290623";"57.659725";"Capital";"Asunción"
" CENTRO DE EDUCACIÓN BÁSICA PARA PERSONAS JÓVENES Y ADULTAS N° 99  MARÍA AUXILIADORA ";"25.279016";"57.658085";"Capital";"Asunción"
"ESCUELA BÁSICA N° 497 JARDIN DE INFANTES TRAPITO Y SALAPIN";"25.290466";"57.652363";"Capital";"Asunción"
"ESCUELA BÁSICA N° 4844 PARROQUIAL PASTORCITOS DE FÁTIMA";"25.296";"57.65899";"Capital";"Asunción"
"CENTRO EDUCATIVO INFANTIL N° 8056 DULCE DESPERTAR";"25.287165";"57.655426";"Capital";"Asunción"
"ESCUELA BÁSICA N° 7984 ANGEL DE LA GUARDA";"25.2869";"57.646057";"Capital";"Asunción"
"ESCUELA BÁSICA N° 282 LOS PEQUEÑITOS DE JESÚS (SANTA LUISA";"25.286703";"57.647408";"Capital";"Asunción"
"ESCUELA BÁSICA N° 1034 SAN VICENTE DE PAÚL";"25.28002";"57.654167";"Capital";"Asunción"
"ESCUELA BÁSICA N° 442 DELIA FRUTOS DE GONZÁLEZ";"25.279715";"57.65373";"Capital";"Asunción"
"COLEGIO NACIONAL SAN VICENTE DE PAÚL";"25.279715";"57.65373";"Capital";"Asunción"
"COLEGIO NACIONAL DELIA FRUTOS DE GONZÁLEZ";"25.279715";"57.65373";"Capital";"Asunción"
"COLEGIO NACIONAL DR. JOSÉ BERGES";"25.278727";"57.650265";"Capital";"Asunción"
" CENTRO DE EDUCACIÓN BÁSICA PARA PERSONAS JÓVENES Y ADULTAS N° 72  SANTO DOMINGO SAVIO ";"25.278727";"57.650265";"Capital";"Asunción"
" CENTRO DE EDUCACIÓN MEDIA PARA PERSONAS JÓVENES Y ADULTAS N° 116";"25.278727";"57.650265";"Capital";"Asunción"
"COLEGIO PRIVADO SUBVENCIONADO SALESIANO SANTO DOMINGO SAVIO,ESCUELA BÁSICA N° 1035 SANTO DOMINGO SAVIO";"25.281412";"57.647537";"Capital";"Asunción"
"COLEGIO SALESIANO MONSEÑOR LASAGNA,ESCUELA BÁSICA N° 1182 MONSEÑOR LASAGNA";"25.280766";"57.64672";"Capital";"Asunción"
"ESCUELA BÁSICA N° 6 DOCTOR JOSÉ GASPAR RODRÍGUEZ DE FRANCIA";"25.278175";"57.644363";"Capital";"Asunción"
"COLEGIO NACIONAL DR. GASPAR RODRÍGUEZ DE FRANCIA";"25.278175";"57.644363";"Capital";"Asunción"
"CENTRO DE EDUCACIÓN MEDIA PARA PERSONAS JÓVENES Y ADULTAS N° 7";"25.278175";"57.644363";"Capital";"Asunción"
"COLEGIO INMACULADO CORAZÓN DE MARÍA,ESCUELA BÁSICA N° 1199 INMACULADO CORAZÓN DE MARÍA";"25.28557";"57.64657";"Capital";"Asunción"
"ESCUELA BÁSICA N° 3 REPÚBLICA DEL BRASIL";"25.283094";"57.63833";"Capital";"Asunción"
"COLEGIO NACIONAL REPÚBLICA DE BRASIL";"25.283094";"57.63833";"Capital";"Asunción"
"COLEGIO PRIVADO ESTADO DE ISRAEL,ESCUELA BÁSICA N° 1184 ESTADO DE ISRAEL DE SOCIEDAD ALIANZA ISRAELITA DEL PARAGUAY";"25.278355";"57.58614";"Capital";"Asunción"
" CENTRO DE EDUCACIÓN MEDIA PARA PERSONAS JÓVENES Y ADULTAS IBEROAMERICANO,CENTRO DE EDUCACIÓN  BÁSICA PARA PERSONAS JÓVENES Y ADULTAS IBEROAMERICANO,COLEGIO IBEROAMERICANO,ESCUELA BÁSICA N° 1511 IBEROAMERICANO";"25.288511";"57.643147";"Capital";"Asunción"
"COLEGIO PRIVADO ASUNCIÓN HIGH SCHOOL,ESCUELA BÁSICA N° 4884 ASUNCIÓN HIGH SCHOOL";"25.28477";"57.645687";"Capital";"Asunción"
" CENTRO DE EDUCACIÓN BÁSICA PARA PERSONAS JÓVENES Y ADULTAS PARAGUAYO DEL SABER, CENTRO DE EDUCACIÓN MEDIA PARA PERSONAS JÓVENES Y ADULTAS CENTRO PARAGUAYO DEL SABER,COLEGIO PRIVADO CENTRO PARAGUAYO DEL SABER";"25.28477";"57.645687";"Capital";"Asunción"
"ESCUELA BÁSICA N° 7971 JARDIN DE INFANTES KUNU'U RAITYAFEMEC";"25.28533";"57.64153";"Capital";"Asunción"
"ESCUELA BÁSICA N° 392 JARDIN DE INFANTES CRAYOLITA";"25.281704";"57.646637";"Capital";"Asunción"
" CENTRO DE FORMACIÓN Y CAPACITACIÓN LABORAL CONARAS";"25.286507";"57.644955";"Capital";"Asunción"
"ESCUELA BÁSICA N° 7972  JARDIN MATERNO INFANTIL MINISTERIO DE HACIENDA";"25.284773";"57.638954";"Capital";"Asunción"
" CENTRO DE FORMACIÓN Y CAPACITACIÓN LABORAL GRAL. PABLO ROJAS";"25.301268";"57.583122";"Capital";"Asunción"
"ESCUELA BÁSICA N° 193 PDTE. FEDERICO CHÁVES";"25.302376";"57.65465";"Capital";"Asunción"
"COLEGIO NACIONAL PRESIDENTE FEDERICO CHÁVES";"25.302376";"57.65465";"Capital";"Asunción"
"CENTRO DE EDUCACIÓN MEDIA PARA PERSONAS JÓVENES Y ADULTAS N° 229";"25.302376";"57.65465";"Capital";"Asunción"
"COLEGIO PRIVADO DEL DIVINO MAESTRO,ESCUELA BÁSICA N° 1039  EL DIVINO MAESTRO";"25.2965";"57.649994";"Capital";"Asunción"
"COLEGIO  PARROQUIAL SUBVENCIONADO INMACULADA CONCEPCIÓN,ESCUELA BÁSICA N° 1037 PARROQUIAL SUBVENCIONADA INMACULADA CONCEPCIÓN";"25.294308";"57.64709";"Capital";"Asunción"
"CENTRO DE NIÑOS ESPECIALES CRISTO REY,COLEGIO CRISTO REY,ESCUELA BÁSICA N° 1187 CRISTO REY";"25.286844";"57.64607";"Capital";"Asunción"
